step,epoch,train_cnt,avg_reward,avg_q,epsilon,time
1850000,37,1850000,25.1774193548,0.508604193785,0.01,144620.791875
1860000,37,1860000,31.5,0.511924917943,0.01,145390.130618
1870000,37,1870000,28.6956521739,0.515637594351,0.01,146124.971584
1880000,37,1880000,27.7714285714,0.518173696365,0.01,146846.366009
1890000,37,1890000,28.152173913,0.518849096547,0.01,147566.096274
1900000,38,1900000,29.6,0.520506057511,0.01,148299.794246
1910000,38,1910000,30.1818181818,0.529887586088,0.01,149059.13528
1920000,38,1920000,28.0,0.532399294452,0.01,149791.985257
1930000,38,1930000,27.4285714286,0.536717142468,0.01,170143.477452
1940000,38,1940000,29.6818181818,0.536075170265,0.01,170922.22601
1950000,39,1950000,30.9818181818,0.534105496742,0.01,171649.778023
1960000,39,1960000,33.8,0.53741269747,0.01,172409.732597
1970000,39,1970000,31.6666666667,0.539867574782,0.01,173147.324055
1980000,39,1980000,30.71875,0.540311733188,0.01,173873.882925
1990000,39,1990000,30.511627907,0.539464538748,0.01,174589.142965
2000000,40,2000000,31.2037037037,0.541605628012,0.01,175319.866006
2010000,40,2010000,35.2222222222,0.545959438929,0.01,176078.890445
2020000,40,2020000,34.35,0.547829565326,0.01,176807.108796
2030000,40,2030000,34.5333333333,0.548720592791,0.01,177553.232293
2040000,40,2040000,34.3170731707,0.549516400792,0.01,178277.160689
2050000,41,2050000,34.98,0.549773572258,0.01,179026.625177
2060000,41,2060000,35.6,0.562766753279,0.01,179786.333628
2070000,41,2070000,34.65,0.551402927849,0.01,180522.124332
2080000,41,2080000,33.6774193548,0.550958069153,0.01,181264.015481
2090000,41,2090000,33.5714285714,0.550373307569,0.01,182004.734274
2100000,42,2100000,33.5769230769,0.548412581724,0.01,182731.963633
2110000,42,2110000,38.4444444444,0.556466142926,0.01,183505.220709
2120000,42,2120000,37.5263157895,0.554161601026,0.01,184242.834178
2130000,42,2130000,40.9285714286,0.548930885506,0.01,184993.59004
2140000,42,2140000,39.2368421053,0.550606429358,0.01,185723.554333
2150000,43,2150000,38.7021276596,0.549351934753,0.01,186455.311413
2160000,43,2160000,36.5,0.543985315257,0.01,187223.812411
2170000,43,2170000,39.8421052632,0.545681062618,0.01,187955.121362
2180000,43,2180000,39.5357142857,0.544355088467,0.01,188696.762919
2190000,43,2190000,38.6578947368,0.541555668312,0.01,189425.672328
2200000,44,2200000,38.25,0.544153787952,0.01,190165.925633
2210000,44,2210000,32.9,0.55457772124,0.01,190930.821074
2220000,44,2220000,36.3684210526,0.550073325109,0.01,191686.042232
2230000,44,2230000,36.5333333333,0.553025363936,0.01,192432.044374
2240000,44,2240000,39.2894736842,0.553712865304,0.01,193184.186794
2250000,45,2250000,39.25,0.555368477642,0.01,193947.018653
2260000,45,2260000,57.5714285714,0.548230375747,0.01,194709.236631
2270000,45,2270000,56.4666666667,0.552085040685,0.01,195464.177942
2280000,45,2280000,51.9583333333,0.558635233439,0.01,196204.685297
2290000,45,2290000,47.696969697,0.561070011633,0.01,196964.284205
2300000,46,2300000,46.9523809524,0.560723005991,0.01,197715.060809
2310000,46,2310000,44.625,0.558179512264,0.01,198493.11095
2320000,46,2320000,44.2222222222,0.558702180958,0.01,199258.876421
2330000,46,2330000,45.5925925926,0.561884349773,0.01,200001.872941
2340000,46,2340000,45.4444444444,0.562730891555,0.01,200764.196492
2350000,47,2350000,44.5555555556,0.563169490865,0.01,201517.818626
2360000,47,2360000,52.25,0.563461529516,0.01,202290.833576
2370000,47,2370000,50.5625,0.561983002657,0.01,203041.58537
